Título,"Tipo de cambio pesos por dólar E.U.A., Tipo de cambio para solventar obligaciones denominadas en moneda extranjera, Fecha de liquidación","Tipo de cambio Pesos por dólar E.U.A., Tipo de cambio para solventar obligaciones denominadas en moneda extranjera, Fecha de determinación (FIX)","Tipo de cambio pesos por dólar E.U.A., Interbancario a 48 horas, Apertura compra","Tipo de cambio pesos por dólar E.U.A., Interbancario a 48 horas, Apertura venta","Tipo de cambio pesos por dólar E.U.A., Interbancario a 48 horas, Cierre compra","Tipo de cambio Pesos por dólar E.U.A., Interbancario a 48 horas, Cierre venta","Tipo de cambio pesos por dólar E.U.A., Interbancario a 48 horas, Máximo","Tipo de cambio Pesos por dólar E.U.A., Interbancario a 48 horas Mínimo","Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954",Tipo de Cambio Cierre de Jornada
Periodo disponible,14/11/1991 - 18/02/2026,12/11/1991 - 16/02/2026,02/01/1992 - 16/02/2026,02/01/1992 - 16/02/2026,02/01/1992 - 29/10/2021,02/01/1992 - 29/10/2021,02/01/1992 - 16/02/2026,02/01/1992 - 16/02/2026,19/04/1954 - 16/02/2026,01/11/2021 - 16/02/2026
Periodicidad,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria,Diaria
Cifra,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio,Tipo de Cambio
Unidad,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar,Pesos por Dólar
Tipo de información,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles,Niveles
Fecha,SF60653,SF43718,SF43787,SF43784,SF43788,SF43786,SF43785,SF43717,SF63528,SF343410
01/01/2008,10.9043,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
02/01/2008,10.9043,10.8972,10.885,10.887,10.9025,10.907,10.9145,10.887,10.8972,N/E
03/01/2008,10.9157,10.8842,10.9115,10.9125,10.8765,10.877,10.9125,10.8615,10.8842,N/E
04/01/2008,10.8972,10.9277,10.9185,10.92,10.935,10.9365,10.94,10.912,10.9277,N/E
05/01/2008,10.8842,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
06/01/2008,10.8842,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
07/01/2008,10.8842,10.9208,10.918,10.919,10.9105,10.911,10.9368,10.896,10.9208,N/E
08/01/2008,10.9277,10.885,10.8805,10.883,10.888,10.89,10.8975,10.8735,10.885,N/E
09/01/2008,10.9208,10.962,10.9355,10.937,10.9655,10.9675,10.9815,10.931,10.962,N/E
10/01/2008,10.885,10.9572,10.954,10.956,10.928,10.9295,10.9645,10.923,10.9572,N/E
11/01/2008,10.962,10.9318,10.9365,10.938,10.94,10.9415,10.9415,10.9175,10.9318,N/E
12/01/2008,10.9572,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
13/01/2008,10.9572,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
14/01/2008,10.9572,10.914,10.916,10.9185,10.902,10.9025,10.92,10.9019,10.914,N/E
15/01/2008,10.9318,10.9203,10.9085,10.91,10.924,10.925,10.9275,10.905,10.9203,N/E
16/01/2008,10.914,10.9458,10.953,10.954,10.9285,10.93,10.958,10.93,10.9458,N/E
17/01/2008,10.9203,10.9445,10.9375,10.939,10.949,10.95,10.95,10.9314,10.9445,N/E
18/01/2008,10.9458,10.9235,10.912,10.913,10.916,10.9175,10.941,10.906,10.9235,N/E
19/01/2008,10.9445,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
20/01/2008,10.9445,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
21/01/2008,10.9445,10.9813,10.968,10.969,11.01,11.011,11.011,10.969,10.9813,N/E
22/01/2008,10.9235,10.9232,10.9295,10.93,10.9255,10.927,10.9325,10.9125,10.9232,N/E
23/01/2008,10.9813,10.9522,10.951,10.952,10.9385,10.941,10.961,10.9405,10.9522,N/E
24/01/2008,10.9232,10.8934,10.887,10.888,10.8965,10.898,10.9085,10.883,10.8934,N/E
25/01/2008,10.9522,10.8698,10.859,10.8595,10.893,10.894,10.894,10.8565,10.8698,N/E
26/01/2008,10.8934,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
27/01/2008,10.8934,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
28/01/2008,10.8934,10.8784,10.883,10.8835,10.8665,10.867,10.892,10.865,10.8784,N/E
29/01/2008,10.8698,10.8444,10.846,10.8465,10.845,10.8455,10.851,10.8395,10.8444,N/E
30/01/2008,10.8784,10.8374,10.8385,10.8395,10.8175,10.8195,10.845,10.81,10.8374,N/E
31/01/2008,10.8444,10.8262,10.832,10.8335,10.83,10.832,10.8365,10.81,10.8262,N/E
01/02/2008,10.8374,10.8138,10.8,10.801,10.812,10.814,10.82,10.7985,10.8138,N/E
02/02/2008,10.8262,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
03/02/2008,10.8262,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
04/02/2008,10.8262,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
05/02/2008,10.8262,10.8289,10.822,10.8225,10.8355,10.8365,10.8425,10.819,10.8289,N/E
06/02/2008,10.8138,10.8227,10.8335,10.834,10.821,10.8225,10.834,10.814,10.8227,N/E
07/02/2008,10.8289,10.804,10.823,10.825,10.778,10.78,10.825,10.76,10.804,N/E
08/02/2008,10.8227,10.7575,10.7565,10.7585,10.7575,10.761,10.769,10.745,10.7575,N/E
09/02/2008,10.804,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
10/02/2008,10.804,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
11/02/2008,10.804,10.7736,10.7675,10.768,10.761,10.762,10.7785,10.76,10.7736,N/E
12/02/2008,10.7575,10.7465,10.7435,10.7445,10.7575,10.7585,10.7585,10.739,10.7465,N/E
13/02/2008,10.7736,10.7509,10.748,10.749,10.74,10.742,10.754,10.7395,10.7509,N/E
14/02/2008,10.7465,10.7413,10.737,10.738,10.752,10.7525,10.755,10.737,10.7413,N/E
15/02/2008,10.7509,10.7653,10.7635,10.7645,10.756,10.758,10.769,10.753,10.7653,N/E
16/02/2008,10.7413,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
17/02/2008,10.7413,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E,N/E
18/02/2008,10.7413,10.735,10.738,10.7385,10.733,10.7345,10.739,10.73,10.735,N/E
19/02/2008,10.7653,10.7489,10.743,10.7435,10.758,10.76,10.767,10.742,10.7489,N/E
20/02/2008,10.735,10.7939,10.7945,10.795,10.787,10.788,10.803,10.7825,10.7939,N/E
21/02/2008,10.7489,10.798,10.777,10.778,10.7925,10.793,10.8095,10.778,10.798,N/E
22/02/2008,10.7939,10.7818,10.78,10.7815,10.777,10.779,10.7885,10.7734,10.7818,N/E
