
"Banco de México"

"Tasas y precios de referencia"
"Tasas de interés representativas"

"Fecha de consulta: 17/02/2026 09:58:22"

""

"Título","TIIE a 182 días","TIIE de Fondeo a Un Día Hábil Bancario, Mediana ponderada por volumen","Tasa de fondeo bancario, Mediana ponderada por volumen, Tasa de interés en por ciento anual","Tasa de fondeo gubernamental, Mediana ponderada por volumen, Tasa de interés en por ciento anual","TIIE a 28 días, Tasa de interés en por ciento anual","Tasas de interés interbancarias Por ciento anual, TIIE a 91 días","Tasa objetivo"
"Periodo disponible","06/04/2011 - 17/02/2026","02/01/2006 - 16/02/2026","03/11/1998 - 16/02/2026","03/11/1998 - 16/02/2026","23/03/1995 - 17/02/2026","23/01/1997 - 17/02/2026","21/01/2008 - 17/02/2026"
"Periodicidad","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria","Diaria"
"Cifra","Porcentajes","Tasas Promedio","Porcentajes","Porcentajes","Porcentajes","Porcentajes","Porcentajes"
"Unidad","Porcentajes","Porcentajes","Sin Unidad","Sin Unidad","Sin Unidad","Porcentajes","Sin Unidad"
"Base","","","","","","",""
"Aviso","","","","","","",""
"Tipo de información","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles","Niveles"
"Fecha","SF111916","SF331451","SF43773","SF43774","SF43783","SF43878","SF61745"
02/01/2008,N/E,7.53,7.51,7.4600,7.9300,N/E,N/E
03/01/2008,N/E,7.53,7.51,7.4500,7.9362,8.0100,N/E
04/01/2008,N/E,7.53,7.51,7.4300,7.9312,N/E,N/E
07/01/2008,N/E,7.52,7.51,7.4300,7.9275,N/E,N/E
08/01/2008,N/E,7.51,7.50,7.4100,7.9262,N/E,N/E
09/01/2008,N/E,7.51,7.50,7.4200,7.9262,N/E,N/E
10/01/2008,N/E,7.51,7.50,7.4200,7.9262,8.0100,N/E
11/01/2008,N/E,7.51,7.50,7.4300,7.9362,N/E,N/E
14/01/2008,N/E,7.51,7.51,7.4300,7.9112,N/E,N/E
15/01/2008,N/E,7.51,7.51,7.4300,7.9312,N/E,N/E
16/01/2008,N/E,7.52,7.51,7.4300,7.9262,N/E,N/E
17/01/2008,N/E,7.52,7.51,7.4300,7.9237,7.9975,N/E
18/01/2008,N/E,7.52,7.51,7.4200,7.9160,N/E,N/E
21/01/2008,N/E,7.51,7.51,7.4300,7.9287,N/E,7.5000
22/01/2008,N/E,7.51,7.51,7.4300,7.9262,N/E,7.5000
23/01/2008,N/E,7.50,7.50,7.4200,7.9163,N/E,7.5000
24/01/2008,N/E,7.50,7.51,7.4200,7.9300,7.9700,7.5000
25/01/2008,N/E,7.51,7.51,7.4200,7.9350,N/E,7.5000
28/01/2008,N/E,7.51,7.50,7.4300,7.9350,N/E,7.5000
29/01/2008,N/E,7.52,7.51,7.4400,7.9250,N/E,7.5000
30/01/2008,N/E,7.52,7.51,7.4400,7.9150,N/E,7.5000
31/01/2008,N/E,7.55,7.52,7.4500,7.9125,7.9700,7.5000
01/02/2008,N/E,7.52,7.51,7.4300,7.9163,N/E,7.5000
